subs	c.aoi00001	c.aoi00002	c.aoi00003	c.aoi00004	c.aoi00005	c.aoi00006	c.aoi00007	c.aoi00008	c.aoi00009	c.aoi00010	c.aoi00011	c.aoi00012	c.aoi00013	c.aoi00014	c.aoi00015	c.aoi00016	c.aoi00017	c.aoi00018	c.aoi00019	c.aoi00020	c.aoi00021	c.aoi00022	c.aoi00023	c.aoi00024	c.aoi00025	c.aoi00026	c.aoi00027	c.aoi00028	c.aoi00029	c.aoi00030	c.aoi00031	c.aoi00032	c.aoi00033	c.aoi00034	c.aoi00035	c.aoi00036	c.aoi00037	c.aoi00038	c.aoi00039	c.aoi00040	c.aoi00041	c.aoi00042	c.aoi00043	c.aoi00044	c.aoi00045	c.aoi00046	c.aoi00047	c.aoi00048	c.aoi00049	c.aoi00050	c.aoi00051	c.aoi00052	c.aoi00053	c.aoi00054	c.aoi00055	c.aoi00056	c.aoi00057	c.aoi00058	c.aoi00059	c.aoi00060	c.aoi00061	c.aoi00062	c.aoi00063	c.aoi00064	c.aoi00065	c.aoi00066	c.aoi00067	c.aoi00068	c.aoi00069	c.aoi00070	c.aoi00071	c.aoi00072	c.aoi00073	c.aoi00074	c.aoi00075	c.aoi00076	c.aoi00077	c.aoi00078	c.aoi00079	c.aoi00080	c.aoi00081	c.aoi00082	c.aoi00083	c.aoi00084	c.aoi00085	c.aoi00086	c.aoi00087	c.aoi00088	c.aoi00089	c.aoi00090	c.aoi00091	c.aoi00092	c.aoi00093	c.aoi00094	c.aoi00095	c.aoi00096	c.aoi00097	c.aoi00098	c.aoi00099	c.aoi00100	c.aoi00101	c.aoi00102	c.aoi00103	c.aoi00104	c.aoi00105	c.aoi00106	c.aoi00107	c.aoi00108	c.aoi00109	c.aoi00110	c.aoi00111	c.aoi00112	c.aoi00113	c.aoi00114	c.aoi00115	c.aoi00116	c.aoi00117	c.aoi00118	c.aoi00119	c.aoi00120	c.aoi00121	c.aoi00122	c.aoi00123	c.aoi00124	c.aoi00125	c.aoi00126	c.aoi00127	c.aoi00128	c.aoi00129	c.aoi00130	c.aoi00131	c.aoi00132	c.aoi00133	c.aoi00134	c.aoi00135	c.aoi00136	c.aoi00137	c.aoi00138	c.aoi00139	c.aoi00140	c.aoi00141	c.aoi00142	c.aoi00143	c.aoi00144	c.aoi00145	c.aoi00146	c.aoi00147	c.aoi00148	c.aoi00149	c.aoi00150	c.aoi00151	c.aoi00152	c.aoi00153	c.aoi00154	c.aoi00155	c.aoi00156	c.aoi00157	c.aoi00158	c.aoi00159	c.aoi00160	c.aoi00161	c.aoi00162	c.aoi00163	c.aoi00164	c.aoi00165	c.aoi00166	c.aoi00167	c.aoi00168	c.aoi00169	c.aoi00170	c.aoi00171	c.aoi00172	c.aoi00173	c.aoi00174	c.aoi00175	c.aoi00176	c.aoi00177	c.aoi00178	c.aoi00179	c.aoi00180	c.aoi00181	c.aoi00182	c.aoi00183	c.aoi00184	c.aoi00185	c.aoi00186	c.aoi00187	c.aoi00188	c.aoi00189	c.aoi00190	c.aoi00191	c.aoi00192	c.aoi00193	c.aoi00194	c.aoi00195	c.aoi00196	c.aoi00197	c.aoi00198	c.aoi00199	c.aoi00200	c.aoi00201	c.aoi00202	c.aoi00203	c.aoi00204	c.aoi00205	c.aoi00206	c.aoi00207	c.aoi00208	c.aoi00209	c.aoi00210	c.aoi00211	c.aoi00212	c.aoi00213	c.aoi00214	c.aoi00215	c.aoi00216	c.aoi00217	c.aoi00218	c.aoi00219	c.aoi00220	c.aoi00221	c.aoi00222	c.aoi00223	c.aoi00224	c.aoi00225	c.aoi00226	c.aoi00227	c.aoi00228	c.aoi00229	c.aoi00230	c.aoi00231	c.aoi00232	c.aoi00233	c.aoi00234	c.aoi00235	c.aoi00236	c.aoi00237	c.aoi00238	c.aoi00239	c.aoi00240	c.aoi00241	c.aoi00242	c.aoi00243	c.aoi00244	c.aoi00245	c.aoi00246	c.aoi00247	c.aoi00248	c.aoi00249	c.aoi00250	c.aoi00251	c.aoi00252	c.aoi00253	c.aoi00254	c.aoi00255	c.aoi00256	c.aoi00257	c.aoi00258	c.aoi00259	c.aoi00260	c.aoi00261	c.aoi00262	c.aoi00263	c.aoi00264	c.aoi00265	c.aoi00266	c.aoi00267	c.aoi00268	c.aoi00269	c.aoi00270	c.aoi00271	c.aoi00272	c.aoi00273	c.aoi00274	c.aoi00275	c.aoi00276	c.aoi00277	c.aoi00278	c.aoi00279	c.aoi00280	c.aoi00281	c.aoi00282	c.aoi00283	c.aoi00284	c.aoi00285	c.aoi00286	c.aoi00287	c.aoi00288	c.aoi00289	c.aoi00290	c.aoi00291	c.aoi00292	c.aoi00293	c.aoi00294	c.aoi00295	c.aoi00296	c.aoi00297	c.aoi00298	c.aoi00299	c.aoi00300	c.aoi00301	c.aoi00302	c.aoi00303	c.aoi00304	c.aoi00305	c.aoi00306	c.aoi00307	c.aoi00308	c.aoi00309	c.aoi00310	c.aoi00311	c.aoi00312	c.aoi00313	c.aoi00314	c.aoi00315	c.aoi00316	c.aoi00317	c.aoi00318	c.aoi00319	c.aoi00320
sub001	2	NA	5	2	1	2	1	2	3	NA	NA	1	2	5	3	3	2	3	1	2	2	1	NA	1	4	NA	NA	2	1	1	2	NA	NA	1	NA	3	1	NA	1	1	1	2	NA	NA	1	NA	2	3	1	2	2	4	3	2	1	NA	NA	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	1	NA	1	1	NA	2	NA	NA	2	1	2	NA	1	NA	NA	NA	2	1	NA	1	NA	1	NA	1	NA	2	2	NA	1	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	3	NA	1	2	1	2	1	1	NA	1	2	1	NA	NA	1	NA	1	NA	NA	NA	NA	3	8	NA	NA	NA	2	1	2	NA	NA	NA	2	6	4	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	2	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	1	NA	NA	1	7	5	7	NA	NA	4	NA	9	12	NA	NA	NA	NA	NA
sub002	NA	3	NA	NA	4	3	NA	2	1	1	1	NA	2	1	2	NA	2	1	2	1	1	NA	NA	NA	NA	1	2	3	2	2	NA	NA	NA	1	2	1	NA	3	3	1	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	1	3	NA	NA	NA	NA	NA
sub003	1	3	5	3	4	NA	NA	NA	NA	NA	NA	1	1	4	4	3	1	NA	1	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	7	4	NA	1	NA	NA	NA	NA	NA	1	1	4	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	3	1	NA	NA	NA	NA	NA	NA	1	2	4	1	1	NA	NA	NA	NA	NA	NA	2	3	7	1	3	NA	2	NA	NA	NA	NA	NA	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	1	6	NA	NA	NA	NA	NA	NA	NA	1	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sub004	2	2	1	5	5	3	2	NA	3	NA	1	1	2	2	7	10	6	NA	NA	NA	NA	NA	1	NA	2	2	6	2	1	NA	NA	NA	NA	2	NA	4	6	4	6	2	NA	NA	1	NA	NA	NA	NA	6	6	3	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	5	5	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	1	NA	NA	NA	NA	1	NA	NA	2	4	1	1	2	NA	1	NA	NA	NA	2	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	5	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	2	5	3	2	3	5	NA	NA	1	NA	NA	NA	NA	1	NA	NA	3	4	NA	3	2	NA	NA	NA	NA	1	2	3	1	1	NA	NA	1	1	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	1	3	1	1	NA	1	2	NA	NA	2	1	2	1	NA	NA	NA	NA	4	2	2	2	1	NA	NA	NA	NA	NA	2	1	1	4	3	2	1	NA	NA	NA	NA	NA	NA	1	3	5	2	NA	NA	NA	NA	NA	1	NA	2	6	4	2	NA	NA	NA	NA	NA	1	NA	1	3	3	2	2	NA	NA	NA	NA	NA	1	NA	NA	NA	2	6	1	2	NA	NA	8	4	5	5	NA	NA	2	NA	NA	1	NA	5	1	NA	1	2	2	NA	5	9	13	4	1	NA	NA	1	1	1	13	15	7	2	NA	3	NA	3	1	1	NA	NA	3	4
sub005	8	6	2	2	NA	NA	NA	NA	1	NA	NA	NA	3	2	3	NA	NA	NA	NA	1	NA	NA	NA	1	NA	4	3	NA	NA	NA	NA	NA	1	NA	1	1	2	1	NA	NA	NA	1	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	3	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	2	1	1	NA	1	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	2	NA	NA	NA	3	2	2	NA	1	1	2	NA	NA	3	NA	3	4	3	1	3	3	1	3	NA	1	NA	3	1	2	NA	NA	NA	NA	2	NA	NA	NA	1	2	1	NA	NA	NA	1	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	2	2	2	2	1	NA	NA	NA	NA	NA	1	3	2	NA	1	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	4	8	7	9	5	1	2	NA	8	NA	2	7	NA	2	1	NA	1	1	NA	4	NA	NA	NA	2	3
sub006	2	1	4	2	NA	1	1	NA	NA	NA	NA	NA	1	3	3	3	4	3	2	3	1	1	1	NA	2	4	1	2	1	1	1	1	NA	1	NA	4	5	2	4	2	2	2	NA	2	NA	NA	2	1	NA	NA	1	NA	NA	NA	NA	2	1	NA	2	NA	NA	1	3	NA	NA	2	NA	NA	NA	1	NA	1	NA	NA	1	5	2	2	3	NA	NA	3	NA	1	NA	1	NA	NA	3	1	3	1	2	NA	1	NA	NA	NA	1	NA	2	4	1	NA	3	2	1	1	NA	NA	1	2	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	1	1	2	2	1	NA	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	1	3	NA	3	NA	NA	2	1	NA	NA	NA	3	NA	1	NA	2	NA	NA	3	NA	1	NA	1	NA	2	NA	2	NA	NA	2	1	3	NA	NA	3	NA	NA	2	1	NA	NA	1	2	NA	NA	2	NA	2	2	3	2	3	1	NA	NA	NA	NA	NA	2	NA	3	3	2	1	1	1	2	1	1	1	NA	1	3	2	1	NA	NA	1	NA	NA	NA	1	3	3	2	1	2	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	8	5	2	2	1	4	NA	NA	3	7	1	1	NA	NA	1	4	7	NA	NA	NA	NA	1
sub007	1	4	5	1	NA	NA	NA	NA	NA	2	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA	NA	1	NA	NA	NA	NA	2	4	2	NA	NA	NA	1	NA	1	NA	NA	1	3	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1	4	NA	NA	1	NA	NA	4	NA	1	NA	2	1	6	1	NA	3	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	2	NA	3	NA	NA	1	1	NA	NA	NA	2	NA	NA	NA	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	3	1	1	NA	1	NA	NA	NA	NA	NA	1	1	1	1	NA	2	NA	NA	NA	NA	NA	NA	1	1	4	NA	NA	NA	NA	NA	NA	NA	1	1	1	2	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	2	4	4	2	1	NA	NA	NA	NA	1	4	3	NA	NA	NA	NA	NA	1	4	NA	NA	NA	2	3
sub008	NA	1	1	1	3	2	1	NA	NA	NA	NA	1	NA	1	NA	1	4	2	2	1	2	1	1	NA	2	2	3	1	NA	2	2	NA	NA	NA	NA	NA	3	2	3	1	2	1	3	1	NA	NA	1	3	2	1	1	1	NA	NA	NA	NA	1	1	2	NA	NA	NA	NA	3	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	NA	1	2	NA	1	NA	1	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	1	1	NA	NA	1	NA	NA	NA	NA	4	1	NA	2	2	1	NA	2	1	NA	NA	1	2	2	NA	1	NA	NA	NA	NA	6	1	1	2	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	2	2	1	NA	NA	NA	NA	2	2	NA	2	NA	1	2	1	1	2	NA	2	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	2	7	2	3	2	NA	NA	NA	NA	NA	NA	2	4	4	4	3	1	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	8	1	NA	2	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA
sub009	2	1	2	2	NA	1	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	1	NA	NA	NA	NA	NA	2	8	2	2	NA	NA	NA	NA	NA	1	4	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	1
sub010	3	2	4	5	3	1	2	NA	1	1	NA	NA	2	3	4	4	7	5	1	1	1	NA	NA	3	4	4	9	5	6	3	3	NA	NA	2	1	6	5	7	8	10	8	3	3	NA	1	NA	2	2	10	5	1	3	3	NA	1	1	1	4	1	NA	NA	1	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	4	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	5	1	1	NA	NA	NA	1	1	1	2	NA	2	5	7	NA	6	7	2	NA	5	3	NA	3	1	1	NA	2	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4	4	3	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	8	4	NA	2	1	5	NA	1	4	NA	NA	NA	NA	NA	1	2	1	3	NA	4	NA	NA	NA	NA	NA	4	1	NA	1	NA	1	NA	NA	NA	5	NA	3	NA	1	1	NA	NA	1	1	NA	1	1	1	NA	NA	3	6	NA	1	NA	NA	NA	1	NA	1	NA	1	NA	1	2	1	NA	3	NA	1	2	NA	NA	NA	NA	1	2	1	1	2	NA	NA	1	NA	2	1	1	1	3	1	1	NA	NA	NA	NA	NA	NA	NA	3	6	6	3	1	NA	NA	2	NA	NA	NA	1	3	6	1	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	3	1	1	NA	1	NA	NA	NA	NA	2	2	3	NA	NA	NA	NA	NA	1	3	6	7	2	NA	NA	1	2	NA	NA	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1
